t,GR,ver
42,0.15698524357086338,40
43,0.16275122638079134,40
44,0.14924437439542632,40
45,0.14036980221613077,40
46,0.12994894687580627,40
47,0.11294112107371106,40
48,0.10268656628681863,40
49,0.09006519403018186,40
50,0.0766265849071313,40
51,0.06396491426937054,40
52,0.052321948049404314,40
53,0.03928240928415814,40
54,0.024651053080006497,40
55,0.014616532838672033,40
56,0.0024837928878119466,40
57,-0.009564658143080823,40
58,-0.020696526465703375,40
59,-0.033663602400350365,40
60,-0.04450305720124432,40
61,-0.05377665686037376,40
62,-0.06679748424285867,40
63,-0.07484231443080451,40
64,-0.08565975454583234,40
65,-0.09979997053080909,40
66,-0.10721192381191537,40
67,-0.11901425213039453,40
68,-0.12850056494536943,40
69,-0.13618176170201335,40
70,-0.13971957652816006,40
71,-0.1476263041059817,40
72,-0.1591239840451759,40
73,-0.17341365296927305,40
74,-0.16921976081586548,40
75,-0.18693082480414389,40
76,-0.19426653656236845,40
77,-0.19476816662861873,40
78,-0.1962859167250378,40
79,-0.217447305512563,40
80,-0.21022945906332435,40
81,-0.21912302370902464,40
82,-0.22218441213449405,40
83,-0.20677592164482386,40
84,-0.21722187532764617,40
85,-0.21600207911101912,40
86,-0.20160580203373385,40
87,-0.20865715598593843,40
88,-0.20134717709045558,40
89,-0.18024142992683945,40
90,-0.1873224891747607,40
91,-0.1972224245793977,40
92,-0.16740115263233976,40
93,-0.1666261643043272,40
94,-0.19360341569069975,40
95,-3.0654666683302754,40
96,-0.16444653394302647,40
97,-3.0537584653497856,40
98,-0.17000425170755498,40
99,-0.16305231995425382,40
100,-0.15696303560414612,40
101,-3.031943073640498,40
102,-3.02489306766589,40
103,-0.14412977756962111,40
104,-3.0172484070179455,40
105,-3.0086047601827817,40
106,-3.0060310609514707,40
107,-2.999532122840548,40
108,-2.995052087104105,40
109,-2.992599140705142,40
110,-2.9933606208922594,40
111,-2.9901647866045122,40
112,-2.982972734793218,40
113,-2.9722613691348965,40
114,-2.9797424415062177,40
115,-2.9648747638125506,40
116,-2.959683779693094,40
117,-2.9606272878926654,40
118,-2.959683779693094,40
119,-2.9381787480625166,40
120,-2.9442077994829385,40
121,-2.933161980675963,40
122,-2.92687911996894,40
123,-2.9381787480625166,40
124,-2.9230253529732586,40
125,-2.9184673140534096,40
126,-2.92687911996894,40
127,-2.9128887252705544,40
128,-2.9128887252705544,40
129,-2.92687911996894,40
130,-2.9128887252705544,40
131,-2.895560045756556,40
132,-2.9184673140534096,40
133,-2.9128887252705544,40
134,-2.878231366242557,40
135,0,40
136,-2.8955600457565556,40
137,0,40
138,-2.878231366242557,40
139,-2.878231366242557,40
140,-2.878231366242557,40
141,0,40
142,0,40
143,-2.878231366242557,40
144,0,40
145,0,40
146,0,40
147,0,40
148,0,40
149,0,40
150,0,40
151,0,40
152,0,40
153,0,40
154,0,40
155,0,40
156,0,40
157,0,40
158,0,40
159,0,40
160,0,40
161,0,40
162,0,40
163,0,40
164,0,40
165,0,40
166,0,40
167,0,40
168,0,40
169,0,40
170,0,40
171,0,40
172,0,40
173,0,40
174,0,40
175,0,40
176,0,40
177,0,40
178,0,40
179,0,40
180,0,40
181,0,40
182,0,40
183,0,40
184,0,40
185,0,40
186,0,40
187,0,40
188,0,40
189,0,40
190,0,40
191,0,40
192,0,40
193,0,40
194,0,40
195,0,40
196,0,40
197,0,40
198,0,40
199,0,40
200,0,40
201,0,40
202,0,40
203,0,40
204,0,40
205,0,40
206,0,40
207,0,40
208,0,40
209,0,40
210,0,40
211,0,40
212,0,40
213,0,40
214,0,40
215,0,40
216,0,40
217,0,40
218,0,40
219,0,40
220,0,40
221,0,40
222,0,40
223,0,40
224,0,40
225,0,40
226,0,40
227,0,40
228,0,40
229,0,40
230,0,40
231,0,40
232,0,40
233,0,40
234,0,40
235,0,40
236,0,40
237,0,40
238,0,40
239,0,40
240,0,40
241,0,40
242,0,40
243,0,40
244,0,40
245,0,40
246,0,40
247,0,40
248,0,40
249,0,40
250,0,40
251,0,40
51,2.474225976268763,50
52,0.075032142522543,50
53,0.07784915699866614,50
54,0.06466554242222282,50
55,0.05709366190558168,50
56,0.049176483658171496,50
57,0.0361229641336031,50
58,0.02934902550073662,50
59,0.01938266426497071,50
60,0.009287817846815571,50
61,0.00250041405913229,50
62,-0.006922760776364428,50
63,-0.014297069182836158,50
64,-0.023948257468244052,50
65,-0.03379630024705704,50
66,-0.04119338068823942,50
67,-0.05103280052185512,50
68,-0.05910404584936857,50
69,-0.06587851831361569,50
70,-0.06906947052455052,50
71,-0.07644395511708782,50
72,-0.08697425369242436,50
73,-0.09995367128646925,50
74,-0.09853257604604804,50
75,-0.11482397352083246,50
76,-0.12284736405623352,50
77,-0.12633526966262137,50
78,-0.13109509788510404,50
79,-0.15248172347571093,50
80,-0.1510979183499847,50
81,-0.1637032880276251,50
82,-0.17217407909556295,50
83,-0.16599701923332227,50
84,-0.18074947947905967,50
85,-0.18667061965062762,50
86,-0.18165695702921814,50
87,-0.19400538340058376,50
88,-0.19446477691806208,50
89,-0.18299754688491154,50
90,-0.19323882662056685,50
91,-0.2053799669027452,50
92,-0.1844769744400195,50
93,-0.1856527555494287,50
94,-0.20961268964667804,50
95,-2.5075755145315433,50
96,-0.1863399009968947,50
97,-2.4972367050051942,50
98,-0.18880362889476227,50
99,-0.18311134692257783,50
100,-0.17758387856220637,50
101,-2.474225976268763,50
102,-2.4686947733485995,50
103,-0.16102681866585955,50
104,-2.4574678255466056,50
105,-2.45237333466422,50
106,-2.4480052637596654,50
107,-2.4430067722798285,50
108,-2.43858849436009,50
109,-2.433026948957449,50
110,-2.4281555214773625,50
111,-2.4255544589123987,50
112,-2.419914454132712,50
113,-2.4178889150497427,50
114,-2.4137987256143565,50
115,-2.4068838081462256,50
116,-2.4048248487611765,50
117,-2.399625698272438,50
118,-2.396041669683284,50
119,-2.3940793125641133,50
120,-2.394688496713808,50
121,-2.39213182928361,50
122,-2.3863781878345742,50
123,-2.377809095307917,50
124,-2.3837939532049743,50
125,-2.3718998110500404,50
126,-2.3677470237544753,50
127,-2.3685018303141323,50
128,-2.3677470237544753,50
129,-2.3505429984500132,50
130,-2.355366239586351,50
131,-2.3465295845407703,50
132,-2.3415032959751523,50
133,-2.3505429984500132,50
134,-2.338420282378607,50
135,-2.3347738512427276,50
136,-2.3415032959751523,50
137,-2.3303109802164435,50
138,-2.3303109802164435,50
139,-2.3415032959751523,50
140,-2.3303109802164435,50
141,-2.316448036605245,50
142,-2.3347738512427276,50
143,-2.3303109802164435,50
144,-2.302585092994046,50
145,0,50
146,-2.3164480366052445,50
147,0,50
148,-2.302585092994046,50
149,-2.302585092994046,50
150,-2.302585092994046,50
151,0,50
152,0,50
153,-2.302585092994046,50
154,0,50
155,0,50
156,0,50
157,0,50
158,0,50
159,0,50
160,0,50
161,0,50
162,0,50
163,0,50
164,0,50
165,0,50
166,0,50
167,0,50
168,0,50
169,0,50
170,0,50
171,0,50
172,0,50
173,0,50
174,0,50
175,0,50
176,0,50
177,0,50
178,0,50
179,0,50
180,0,50
181,0,50
182,0,50
183,0,50
184,0,50
185,0,50
186,0,50
187,0,50
188,0,50
189,0,50
190,0,50
191,0,50
192,0,50
193,0,50
194,0,50
195,0,50
196,0,50
197,0,50
198,0,50
199,0,50
200,0,50
201,0,50
202,0,50
203,0,50
204,0,50
205,0,50
206,0,50
207,0,50
208,0,50
209,0,50
210,0,50
211,0,50
212,0,50
213,0,50
214,0,50
215,0,50
216,0,50
217,0,50
218,0,50
219,0,50
220,0,50
221,0,50
222,0,50
223,0,50
224,0,50
225,0,50
226,0,50
227,0,50
228,0,50
229,0,50
230,0,50
231,0,50
232,0,50
233,0,50
234,0,50
235,0,50
236,0,50
237,0,50
238,0,50
239,0,50
240,0,50
241,0,50
242,0,50
243,0,50
244,0,50
245,0,50
246,0,50
247,0,50
248,0,50
249,0,50
250,0,50
251,0,50
